time,prey,predator,prey_noisy,predator_noisy
16.216216,1.005978,0.038109,1.378036,0.100000
16.316316,1.121388,0.037005,0.977809,0.100000
16.416416,1.250091,0.035976,1.396660,0.100000
16.516517,1.393621,0.035024,1.235789,0.100000
16.616617,1.553687,0.034149,1.716527,0.375603
16.716717,1.732196,0.033352,1.799486,0.283700
16.816817,1.931273,0.032636,1.903892,0.100000
16.916917,2.153287,0.032002,2.146162,0.100000
17.017017,2.400881,0.031454,2.286424,0.100000
17.117117,2.676998,0.030996,2.754971,0.100000
17.217217,2.984918,0.030635,2.905387,0.100000
17.317317,3.328299,0.030376,3.114063,0.100000
17.417417,3.711212,0.030230,3.487828,0.100000
17.517518,4.138193,0.030206,4.168362,0.100000
17.617618,4.614291,0.030318,4.890317,0.100000
17.717718,5.145124,0.030585,5.173091,0.100000
17.817818,5.736945,0.031028,5.716207,0.100000
17.917918,6.396701,0.031674,6.446663,0.100000
18.018018,7.132111,0.032561,7.360401,0.100000
18.118118,7.951744,0.033734,7.990092,0.152490
18.218218,8.865094,0.035253,8.793264,0.100000
18.318318,9.882671,0.037197,10.076051,0.125132
18.418418,11.016079,0.039674,11.091026,0.100000
18.518519,12.278097,0.042825,12.546548,0.100000
18.618619,13.682738,0.046848,13.714768,0.100000
18.718719,15.245286,0.052014,15.031248,0.102780
18.818819,16.982267,0.058710,16.743112,0.143880
18.918919,18.911332,0.067495,19.199915,0.100000
19.019019,21.050962,0.079189,21.352259,0.292027
19.119119,23.419874,0.095029,23.388494,0.235020
19.219219,26.035899,0.116916,25.968917,0.100000
19.319319,28.913905,0.147852,29.169366,0.252080
19.419419,32.062022,0.192700,31.868510,0.461396
19.519520,35.474721,0.259538,35.318322,0.531943
19.619620,39.120071,0.362143,39.232525,0.191515
19.719720,42.916230,0.524539,42.847252,0.395799
19.819820,46.688569,0.789248,46.687673,0.995574
19.919920,50.095032,1.231459,50.066462,1.084413
20.020020,52.512643,1.979601,52.571651,1.795836
20.120120,52.927394,3.230969,53.173423,3.163413
20.220220,50.034644,5.214012,50.050478,5.272401
20.320320,42.973589,8.006701,43.086149,7.992473
20.420420,32.639255,11.250609,32.280883,11.160215
20.520521,21.847372,14.184370,21.838856,14.090690
20.620621,13.227985,16.203451,13.080588,16.104473
20.720721,7.538966,17.232835,7.325917,17.110629
20.820821,4.188433,17.529676,4.034931,17.846704
20.920921,2.321930,17.383317,2.263525,17.424656
21.021021,1.301661,16.997982,1.461761,17.121195
21.121121,0.743026,16.494247,0.511172,16.426291
21.221221,0.433305,15.938059,0.438660,15.912221
